iter	RMSE
225	4.050679181
226	4.04848229
227	4.047370026
228	4.045412143
229	4.044375168
230	4.042537322
231	4.041768763
232	4.040451673
233	4.036533527
234	4.035549992
235	4.034749653
236	4.033239488
237	4.030587123
238	4.029533209
239	4.027831766
240	4.027120569
241	4.026550913
242	4.025401134
243	4.023276508
244	4.022224777
245	4.021598537
246	4.020949101
247	4.018832416
248	4.018164222
249	4.017571422
250	4.01703189
251	4.016435983
252	4.014168789
253	4.013549665
254	4.012947799
255	4.012234685
256	4.011556038
257	4.010840128
258	4.009718958
259	4.009085423
260	4.008470091
261	4.006642664
262	4.005887294
263	4.00497729
264	4.001446028
265	3.999836836
266	3.998690524
267	3.99829986
268	3.996219738
269	3.994899983
270	3.993843147
271	3.993327659
272	3.99275049
273	3.991827207
274	3.990410825
275	3.98989345
276	3.989023647
277	3.988530267
278	3.988086397
279	3.986549467
280	3.985781922
281	3.984978308
282	3.984211504
283	3.983737357
284	3.982386284
285	3.981155005
286	3.980589828
287	3.980003852
288	3.979530944
289	3.978905922
290	3.97656628
291	3.975021061
292	3.974458003
293	3.973549768
294	3.973015168
295	3.971935723
296	3.971468782
297	3.96987483
298	3.96901588
299	3.96836575
300	3.967702243
301	3.966810368
302	3.966227565
303	3.965333676
304	3.963942231
305	3.963445409
306	3.962878424
307	3.961371896
308	3.96086094
309	3.960242849
310	3.959898734
311	3.95911689
312	3.95863243
313	3.957679532
314	3.95727407
315	3.956491275
316	3.956023348
317	3.95546876
318	3.954810054
319	3.954424674
320	3.953933579
321	3.953491605
322	3.952632019
323	3.95212535
324	3.949989904
325	3.949652538
326	3.9491611
327	3.948278903
328	3.946703068
329	3.944912806
330	3.941266817
331	3.940840754
332	3.939638586
333	3.93879034
334	3.937172386
335	3.936484637
336	3.936027668
337	3.935609177
338	3.935148433
339	3.932619032
340	3.932113378
341	3.931734203
342	3.930707591
343	3.930424602
344	3.929898636
345	3.929519719
346	3.929035941
347	3.926947157
348	3.926096537
349	3.924312998
350	3.92393419
351	3.923143789
352	3.922191132
353	3.921435142
354	3.920170403
355	3.919402363
356	3.918263852
357	3.918018588
358	3.917446396
359	3.916979613
360	3.915862713
361	3.915564903
362	3.914993532
363	3.91454566
364	3.914176339
365	3.913056646
366	3.911808926
367	3.911473698
368	3.910856515
369	3.910412816
370	3.909833289
371	3.909435233
372	3.909210345
373	3.90818896
374	3.906234652
375	3.905851907
376	3.905391489
377	3.90494461
378	3.904542379
379	3.902933503
380	3.902471766
381	3.901043189
382	3.900604406
383	3.900144131
384	3.899730178
385	3.899067492
386	3.898508388
387	3.89791886
388	3.896322874
389	3.895688127
390	3.895287667
391	3.894299498
392	3.893763045
393	3.892993756
394	3.892447851
395	3.892105152
396	3.890952646
397	3.890499762
398	3.889636048
399	3.889242723
400	3.888640111
401	3.888205913
402	3.887759021
403	3.887361206
404	3.887094102
405	3.886264182
406	3.885955127
407	3.88548633
408	3.885084701
409	3.884520177
410	3.884311984
411	3.883711404
412	3.883269593
413	3.882523555
414	3.882138441
415	3.881664711
416	3.881113543
417	3.880821054
418	3.880261432
419	3.879690757
420	3.879181695
421	3.878729012
422	3.877162636
423	3.876602614
424	3.875776953
425	3.874964546
426	3.874244242
427	3.873801183
428	3.873445604
429	3.872327406
430	3.871887617
431	3.871396925
432	3.870726255
433	3.870105321
434	3.869146155
435	3.868928935
436	3.868331147
437	3.867795082
438	3.867350663
439	3.867167221
440	3.866591602
441	3.866224749
442	3.865781661
443	3.86481018
444	3.864357172
445	3.863950298
446	3.863391523
447	3.863031526
448	3.862718806
449	3.862116031
450	3.861755043
451	3.861331782
452	3.860803069
453	3.860428555
454	3.859938857
455	3.859391165
456	3.858577815
457	3.858201031
458	3.85767813
459	3.857444896
460	3.857143094
461	3.856599914
462	3.856024516
463	3.855574691
464	3.854880236
465	3.854360263
466	3.853964885
467	3.853727971
468	3.852440432
469	3.851767065
470	3.851435385
471	3.850914287
472	3.850528143
473	3.850301157
474	3.848805269
475	3.847886385
476	3.847546648
477	3.846968527
478	3.846426619
479	3.845988024
480	3.845620682
481	3.845298171
482	3.844946494
483	3.844626867
484	3.84395271
485	3.843475126
486	3.843282804
487	3.842512489
488	3.841956132
489	3.841160008
490	3.840797041
491	3.839394321
492	3.839074616
493	3.838661838
494	3.837805107
495	3.836608377
496	3.836420801
497	3.835038474
498	3.834555474
499	3.834235718
500	3.833825471
501	3.833050365
502	3.832909064
503	3.832325447
504	3.832124307
505	3.831988851
506	3.831535207
507	3.831260851
508	3.830898832
509	3.830610689
510	3.830217206
511	3.829898686
512	3.829551793
513	3.82919647
514	3.828720381
515	3.828360234
516	3.826937803
517	3.826508329
518	3.826105532
519	3.825913932
520	3.825605951
521	3.825210728
522	3.824970794
523	3.824308633
524	3.823484949
525	3.823176224
526	3.822675789
527	3.822342356
528	3.82193145
529	3.821621186
530	3.821284999
531	3.820915372
532	3.820339948
533	3.81997637
534	3.819776715
535	3.819330082
536	3.818872463
537	3.81822843
538	3.816920503
539	3.816256213
540	3.815975699
541	3.815665922
542	3.815094598
543	3.814832075
544	3.814504558
545	3.81375445
546	3.813387049
547	3.813208972
548	3.812794218
549	3.812372517
550	3.812006503
551	3.811391382
552	3.810889007
553	3.810396922
554	3.809796525
555	3.809618404
556	3.809031949
557	3.808859565
558	3.808225891
559	3.807770486
560	3.806294114
561	3.805907982
562	3.804107608
563	3.803737439
564	3.803501095
565	3.803121051
566	3.802700894
567	3.802291204
568	3.801694613
569	3.801339241
570	3.800886623
571	3.80033062
572	3.799831145
573	3.799490321
574	3.799150344
575	3.798656407
576	3.798048143
577	3.797509566
578	3.79699284
579	3.796741007
580	3.796526229
581	3.796181478
582	3.795608469
583	3.795370629
584	3.795134864
585	3.794940291
586	3.794490898
587	3.794185749
588	3.79386769
589	3.793555029
590	3.793350012
591	3.792853067
592	3.792107935
593	3.791816265
594	3.791457892
595	3.791144659
596	3.790397689
597	3.790125982
598	3.789880891
599	3.789293731
600	3.788656686
601	3.787999954
602	3.787572677
603	3.787148283
604	3.786969831
605	3.786617493
606	3.78636956
607	3.785174001
608	3.784657953
609	3.784214689
610	3.783511938
611	3.783208476
612	3.782653804
613	3.78206931
614	3.781591257
615	3.781401544
616	3.78010958
617	3.779505219
618	3.779259261
619	3.77893239
620	3.778640776
621	3.778189122
622	3.77785868
623	3.777340785
624	3.776820678
625	3.776274548
626	3.775160159
627	3.774745059
628	3.774384592
629	3.773978341
630	3.77364839
631	3.773300101
632	3.772681182
633	3.772323129
634	3.772007901
635	3.771733033
636	3.771452572
637	3.77119626
638	3.770969054
639	3.770567565
640	3.770326247
641	3.76976178
642	3.76948019
643	3.768917849
644	3.76881787
645	3.768486658
646	3.767992746
647	3.767803117
648	3.767512946
649	3.767289901
650	3.766914198
651	3.766469636
652	3.766123454
653	3.765688359
654	3.764748647
655	3.764532795
656	3.764314112
657	3.764008909
658	3.763749078
659	3.763459975
660	3.76298825
661	3.762113363
662	3.761699166
663	3.761450992
664	3.761201711
665	3.760848848
666	3.76065116
667	3.760273225
668	3.759832783
669	3.75926925
670	3.759129574
671	3.758820066
672	3.758299009
673	3.75794572
674	3.757608098
675	3.75731174
676	3.757038164
677	3.756621947
678	3.756013947
679	3.755777194
680	3.755063104
681	3.754694387
682	3.754279688
683	3.75406386
684	3.753764106
685	3.753336196
686	3.752907209
687	3.752463869
688	3.752268637
689	3.752132344
690	3.75168631
691	3.751151091
692	3.750955445
693	3.750700536
694	3.750480111
695	3.75019141
696	3.749771284
697	3.748759255
698	3.748132748
699	3.747836106
700	3.747413699
701	3.74729826
702	3.74708059
703	3.746633601
704	3.746009764
705	3.745766403
706	3.745315662
707	3.745133843
708	3.744145426
709	3.743993889
710	3.743793941
711	3.743219308
712	3.742909249
713	3.742499539
714	3.742232534
715	3.74185066
716	3.741299387
717	3.741102199
718	3.740741979
719	3.740430983
720	3.740038317
721	3.73971385
722	3.739455569
723	3.738932951
724	3.738696776
725	3.738334135
726	3.737951896
727	3.737714042
728	3.737418252
729	3.737013993
730	3.736808969
731	3.736550126
732	3.736146759
733	3.735870519
734	3.735619835
735	3.735414775
736	3.734904168
737	3.734608428
738	3.734232369
739	3.733921508
740	3.733413629
741	3.733045799
742	3.731964407
743	3.731662525
744	3.731313472
745	3.730975746
746	3.730757334
747	3.730523253
748	3.730426982
749	3.730185206
750	3.729655143
751	3.729140767
752	3.728828187
753	3.728576706
754	3.728251084
755	3.727833204
756	3.727471846
757	3.727031158
758	3.726886706
759	3.726489724
760	3.726251178
761	3.72607766
762	3.725921699
763	3.725682924
764	3.725461417
765	3.724883266
766	3.724053115
767	3.723771688
768	3.723421316
769	3.723202067
770	3.722994408
771	3.722907234
772	3.722601346
773	3.7221981
774	3.721892376
775	3.721722127
776	3.721280189
777	3.720961078
778	3.720744051
779	3.72047968
780	3.720178085
781	3.719964185
782	3.719611128
783	3.719210659
784	3.718915738
785	3.718643171
786	3.71826704
787	3.717975953
788	3.717573925
789	3.717112845
790	3.71658232
791	3.716260958
792	3.715875824
793	3.715343653
794	3.715005217
795	3.714693958
796	3.71445174
797	3.714294988
798	3.713922948
799	3.713549674
800	3.713216447
801	3.712649922
802	3.712418143
803	3.712111528
804	3.711881303
805	3.711529722
806	3.710794211
807	3.710612013
808	3.71036423
809	3.710170853
810	3.70986295
811	3.709526817
812	3.709109558
813	3.708881517
814	3.708615927
815	3.708374535
816	3.708039212
817	3.707814981
818	3.707244975
819	3.706805992
820	3.706676642
821	3.706454457
822	3.706087877
823	3.705752417
824	3.705590901
825	3.705398176
826	3.705109158
827	3.704952776
828	3.704307091
829	3.703939239
830	3.70338836
831	3.703221093
832	3.702870284
833	3.702733654
834	3.702417506
835	3.702084901
836	3.701970715
837	3.701583459
838	3.701392531
839	3.700994974
840	3.700543361
841	3.700312599
842	3.699887763
843	3.699785225
844	3.699542591
845	3.698648157
846	3.698129496
847	3.697889256
848	3.697674624
849	3.697349029
850	3.697008966
851	3.696755643
852	3.696618354
853	3.69625665
854	3.695938895
855	3.69573873
856	3.695378804
857	3.694778841
858	3.694513091
859	3.694026501
860	3.693627648
861	3.693384797
862	3.693237256
863	3.692735827
864	3.692557743
865	3.692282638
866	3.691930977
867	3.69144602
868	3.691081493
869	3.69062896
870	3.690032115
871	3.689793581
872	3.689560631
873	3.689374047
874	3.688992097
875	3.688692394
876	3.688502284
877	3.688345178
878	3.688230994
879	3.688038446
880	3.687711221
881	3.686709598
882	3.686418239
883	3.686062173
884	3.685369279
885	3.684955867
886	3.684787325
887	3.684416011
888	3.68397559
889	3.683593801
890	3.683172191
891	3.682935157
892	3.682622452
893	3.682383529
894	3.68197696
895	3.681579225
896	3.681265593
897	3.68089987
898	3.680758049
899	3.680364952
900	3.68015785
901	3.679897546
902	3.679515269
903	3.679128782
904	3.678933639
905	3.678701311
906	3.678415973
907	3.678278618
908	3.678005735
909	3.677427737
910	3.677072589
911	3.676090046
912	3.675647588
913	3.675099905
914	3.674859818
915	3.674490046
916	3.674259796
917	3.674104157
918	3.673970372
919	3.673539116
920	3.673203149
921	3.672842248
922	3.672449242
923	3.672197684
924	3.672060178
925	3.671887357
926	3.671523642
927	3.671293091
928	3.670935452
929	3.670750483
930	3.670409641
931	3.670251615
932	3.669858964
933	3.669411654
934	3.668992541
935	3.668737402
936	3.667794944
937	3.667656976
938	3.667208091
939	3.667016826
940	3.666760265
941	3.666373512
942	3.666112399
943	3.665864672
944	3.66551068
945	3.665403688
946	3.66527032
947	3.665023953
948	3.664840263
949	3.664637305
950	3.664349752
951	3.664204289
952	3.663976042
953	3.663384721
954	3.663232756
955	3.662761215
956	3.662473541
957	3.66219814
958	3.661929059
959	3.661610462
960	3.661234179
961	3.660964539
962	3.660562593
963	3.660314709
964	3.660139875
965	3.65989387
966	3.659640388
967	3.659368455
968	3.659165811
969	3.658911496
970	3.658473345
971	3.658202357
972	3.657872464
973	3.657574045
974	3.657098942
975	3.656762686
976	3.656520877
977	3.656224114
978	3.656013514
979	3.655823863
980	3.655474805
981	3.655268935
982	3.654990216
983	3.654782897
984	3.654558898
985	3.654323203
986	3.654096103
987	3.653877415
988	3.653588536
989	3.653365241
990	3.653167865
991	3.652438316
992	3.652290007
993	3.652041726
994	3.651559802
995	3.65121364
996	3.650962067
997	3.650655442
998	3.650544924
999	3.650235117
